interests,skills,personality,career_path
"behavioral psychology, socializing, writing","sem, copywriting, google analytics","dynamic, creative, persuasive",Digital Marketer
"data structure, organization","sql, postgresql, backup recovery","meticulous, patient, organized",Database Administrator
"open source, coding","git, react, node.js","problem solver, detail-oriented",Software Engineer
"statistics, research, math","machine learning, sql, python, pandas, data visualization, sql","curious, logical",Data Scientist
"business strategy, leadership","communication, agile, analytics, scrum, market research","decisive, communicative",Product Manager
"advertising, writing","seo, sem, social media, content marketing, copywriting","outgoing, persuasive",Digital Marketer
"leadership, collaboration, business strategy","communication, market research, scrum, agile, analytics","decisive, adaptable, leader",Product Manager
"user feedback, organizing, collaboration, business strategy","product roadmap, agile, scrum, market research, communication","decisive, communicative, adaptable",Product Manager
"collaboration, business strategy, organizing, user feedback","market research, scrum, analytics","decisive, adaptable",Product Manager
"coding, problem solving, open source","javascript, react, algorithms, git","analytical, detail-oriented",Software Engineer
"leadership, organizing, collaboration, user feedback","agile, communication, market research, analytics, scrum","decisive, leader",Product Manager
"behavioral psychology, socializing","content marketing, copywriting, google analytics","creative, persuasive",Digital Marketer
"system performance, organization, optimization, data structure","sql, backup recovery, database design, mysql","patient, meticulous, organized",Database Administrator
"cloud computing, system administration, networking","cicd, linux, aws, bash, kubernetes","pragmatic, systematic, organized",DevOps Engineer
"problem solving, open source, technology, coding","javascript, react, git, python","detail-oriented, logical",Software Engineer
"automation, system administration, networking, cloud computing","aws, cicd, linux","logical, pragmatic",DevOps Engineer
"statistics, research, puzzles","pandas, numpy, python, machine learning","analytical, researcher",Data Scientist
"cloud computing, system administration","docker, kubernetes, aws, bash","systematic, logical, organized",DevOps Engineer
"cloud computing, networking, system administration","aws, bash, jenkins, kubernetes","logical, pragmatic, organized",DevOps Engineer
"coding, technology, problem solving","javascript, react, data structures, node.js, algorithms","analytical, problem solver, detail-oriented",Software Engineer
"leadership, user feedback, business strategy","analytics, scrum, market research","communicative, adaptable",Product Manager
"statistics, data analysis, puzzles, research","statistics, python, numpy, sql, machine learning","researcher, analytical",Data Scientist
"collaboration, organizing, leadership, user feedback","market research, communication, product roadmap, mysql","decisive, leader, communicative",Product Manager
"technology, web apps","git, node.js, data structures, react, javascript","logical, analytical, problem solver",Software Engineer
"networking, security, investigation","penetration testing, security audit, linux, firewalls","skeptical, analytical",Cybersecurity Specialist
"automation, system administration, cloud computing, networking","cicd, bash, linux, docker","pragmatic, organized",DevOps Engineer
"technology, coding, web apps","javascript, react, algorithms, node.js, data structures","analytical, problem solver",Software Engineer
"web apps, open source, coding, problem solving","javascript, algorithms, python, git, data structures","analytical, problem solver",Software Engineer
"networking, privacy","cryptography, firewalls, security audit, penetration testing, linux","detail-oriented, vigilant, analytical",Cybersecurity Specialist
"networking, cloud computing, automation, system administration","cicd, aws, jenkins, kubernetes","organized, systematic, logical",DevOps Engineer
"design, human behavior, psychology","sketch, interaction design, prototyping, figma","visual, observant",UI/UX Designer
"art, human behavior","interaction design, user research, prototyping, wireframing, sketch","visual, creative, empathetic",UI/UX Designer
"research, math","numpy, machine learning, python, data visualization","researcher, curious",Data Scientist
"open source, technology, problem solving, coding","git, data structures, python, algorithms, node.js","problem solver, analytical",Software Engineer
